A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,0,1,100151,AFONSOEIRO (EN 5) ZONA COMERCIAL,38.692000000,-8.949570000,,,100151,,32859,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100152,AFONSOEIRO (EN 5) ZONA COMERCIAL,38.692100000,-8.949520000,,,100152,,32859,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100153,AFONSOEIRO (CENTRO COMERCIAL),38.697000000,-8.945270000,,,100153,,1298596,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100155,AFONSOEIRO (R CABO VERDE 43),38.700100000,-8.952540000,,,100155,,32865,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100156,AFONSOEIRO (R CABO VERDE 43),38.700000000,-8.952510000,,,100156,,32865,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100157,ESTR DO SEIXALINHO,38.701600000,-9.006510000,,,100157,,32945,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100159,AFONSOEIRO (CENTRO COMERCIAL),38.697100000,-8.945400000,,,100159,,32862,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100161,SARILHOS APEADEIRO (EN11)POSTO COMBUST,38.687800000,-8.945490000,,,100161,,32857,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100162,SARILHOS APEADEIRO (EN11)POSTO COMBUST,38.687900000,-8.945430000,,,100162,,32857,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100163,ESTRADA VAZA BORRACHAS,38.691300000,-8.936120000,,,100163,,129348,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100164,ESTRADA VAZA BORRACHAS,38.691300000,-8.936070000,,,100164,,129348,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100165,CAMINHO VAZA BORRACHAS 47,38.695300000,-8.922350000,,,100165,,1074,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
